Year, Stock Market Index ,Stock Market Return
9/13/2024,"$106,277 ",3.80%
10/13/2024,"$110,719 ",4.20%
11/13/2024,"$114,184 ",3.10%
12/13/2024,"$117,393 ",2.80%
1/14/2024,"$113,496 ",-3.30%
2/14/2024,"$118,773 ",4.70%
3/14/2024,"$119,284 ",0.40%
4/14/2024,"$119,057 ",-0.20%
5/14/2024,"$121,510 ",2.10%
6/14/2024,"$124,681 ",2.60%
7/14/2024,"$122,138 ",-2.00%
8/14/2024,"$127,316 ",4.20%
9/14/2024,"$124,808 ",-2.00%
10/14/2024,"$127,953 ",2.50%
11/14/2024,"$131,216 ",2.60%
12/14/2024,"$131,138 ",-0.10%
1/15/2024,"$127,059 ",-3.10%
2/15/2024,"$134,848 ",6.10%
3/15/2024,"$133,338 ",-1.10%
4/15/2024,"$134,124 ",0.60%
5/15/2024,"$135,948 ",1.40%
6/15/2024,"$133,868 ",-1.50%
7/15/2024,"$135,930 ",1.50%
8/15/2024,"$127,720 ",-6.00%
9/15/2024,"$123,799 ",-3.10%
10/15/2024,"$133,393 ",7.80%
11/15/2024,"$134,140 ",0.60%
12/15/2024,"$131,243 ",-2.20%
1/16/2024,"$123,683 ",-5.80%
2/16/2024,"$123,621 ",-0.10%
3/16/2024,"$132,250 ",7.00%
4/16/2024,"$133,467 ",0.90%
5/16/2024,"$135,856 ",1.80%
6/16/2024,"$135,815 ",0.00%
7/16/2024,"$141,207 ",4.00%
8/16/2024,"$141,927 ",0.50%
9/16/2024,"$142,310 ",0.30%
10/16/2024,"$139,464 ",-2.00%
11/16/2024,"$146,256 ",4.90%
12/16/2024,"$148,947 ",1.80%
1/17/2024,"$151,896 ",2.00%
2/17/2024,"$157,380 ",3.60%
3/17/2024,"$157,694 ",0.20%
4/17/2024,"$159,492 ",1.10%
5/17/2024,"$161,278 ",1.10%
6/17/2024,"$162,633 ",0.80%
7/17/2024,"$165,788 ",1.90%
8/17/2024,"$166,203 ",0.30%
9/17/2024,"$170,524 ",2.60%
10/17/2024,"$174,514 ",2.30%
11/17/2024,"$180,099 ",3.20%
12/17/2024,"$182,170 ",1.20%
1/18/2024,"$192,535 ",5.70%
2/18/2024,"$185,720 ",-3.50%
3/18/2024,"$181,559 ",-2.20%
4/18/2024,"$182,322 ",0.40%
5/18/2024,"$187,409 ",2.80%
6/18/2024,"$188,571 ",0.60%
7/18/2024,"$194,888 ",3.40%
8/18/2024,"$201,904 ",3.60%
9/18/2024,"$202,328 ",0.20%
10/18/2024,"$187,173 ",-7.50%
11/18/2024,"$190,674 ",1.90%
12/18/2024,"$172,808 ",-9.40%
1/19/2024,"$187,686 ",8.60%
2/19/2024,"$194,405 ",3.60%
3/19/2024,"$196,913 ",1.30%
4/19/2024,"$205,144 ",4.20%
5/19/2024,"$191,338 ",-6.70%
6/19/2024,"$204,942 ",7.10%
7/19/2024,"$207,770 ",1.40%
8/19/2024,"$202,742 ",-2.40%
9/19/2024,"$206,006 ",1.60%
10/19/2024,"$210,580 ",2.20%
11/19/2024,"$218,982 ",4.00%
12/19/2024,"$225,354 ",2.90%
1/20/2024,"$225,399 ",0.00%
2/20/2024,"$207,345 ",-8.00%
3/20/2024,"$179,851 ",-13.30%
4/20/2024,"$204,401 ",13.70%
5/20/2024,"$215,827 ",5.60%
6/20/2024,"$221,158 ",2.50%
7/20/2024,"$233,940 ",5.80%
8/20/2024,"$251,813 ",7.60%
9/20/2024,"$242,698 ",-3.60%
10/20/2024,"$237,625 ",-2.10%
11/20/2024,"$267,281 ",12.50%
12/20/2024,"$279,683 ",4.60%
1/21/2024,"$279,627 ",0.00%
2/21/2024,"$287,401 ",2.80%
3/21/2024,"$296,253 ",3.10%
4/21/2024,"$310,858 ",4.90%
5/21/2024,"$311,759 ",0.30%
6/21/2024,"$320,333 ",2.80%
7/21/2024,"$324,401 ",1.30%
8/21/2024,"$333,841 ",2.90%
9/21/2024,"$319,252 ",-4.40%
10/21/2024,"$340,482 ",6.70%
11/21/2024,"$335,205 ",-1.60%
12/21/2024,"$345,630 ",3.10%
1/22/2024,"$324,028 ",-6.30%
2/22/2024,"$316,608 ",-2.30%
3/22/2024,"$326,296 ",3.10%
4/22/2024,"$295,461 ",-9.50%
5/22/2024,"$294,545 ",-0.30%
6/22/2024,"$269,892 ",-8.40%
7/22/2024,"$295,936 ",9.70%
8/22/2024,"$285,342 ",-3.60%
9/22/2024,"$259,204 ",-9.20%
10/22/2024,"$280,096 ",8.10%
11/22/2024,"$293,793 ",4.90%
