Year,Index,Return
2/1/1967,1253,1.1
3/1/1967,1307,4.4
4/1/1967,1363,4.2
5/1/1967,1308,-4
6/1/1967,1343,2.7
7/1/1967,1409,4.9
8/1/1967,1401,-0.6
9/1/1967,1449,3.4
10/1/1967,1410,-2.7
11/1/1967,1420,0.7
12/1/1967,1468,3.4
1/1/1968,1414,-3.7
2/1/1968,1367,-3.4
3/1/1968,1374,0.6
4/1/1968,1505,9.5
5/1/1968,1546,2.7
6/1/1968,1563,1.1
7/1/1968,1528,-2.2
8/1/1968,1555,1.8
9/1/1968,1624,4.5
10/1/1968,1638,0.9
11/1/1968,1734,5.9
12/1/1968,1673,-3.5
1/1/1969,1661,-0.7
2/1/1969,1572,-5.4
3/1/1969,1621,3.1
4/1/1969,1653,2
5/1/1969,1659,0.4
6/1/1969,1549,-6.7
7/1/1969,1448,-6.5
8/1/1969,1523,5.2
9/1/1969,1487,-2.4
10/1/1969,1572,5.7
11/1/1969,1520,-3.3
12/1/1969,1490,-2
1/1/1970,1378,-7.5
2/1/1970,1457,5.8
3/1/1970,1450,-0.5
4/1/1970,1298,-10.5
5/1/1970,1215,-6.4
6/1/1970,1152,-5.2
7/1/1970,1238,7.5
8/1/1970,1300,5
9/1/1970,1361,4.7
10/1/1970,1336,-1.8
11/1/1970,1404,5.1
12/1/1970,1490,6.1
1/1/1971,1568,5.2
2/1/1971,1595,1.7
3/1/1971,1666,4.4
4/1/1971,1723,3.4
5/1/1971,1659,-3.7
6/1/1971,1664,0.3
7/1/1971,1596,-4.1
8/1/1971,1664,4.3
9/1/1971,1656,-0.5
10/1/1971,1589,-4.1
11/1/1971,1587,-0.1
12/1/1971,1731,9.1
1/1/1972,1779,2.8
2/1/1972,1835,3.1
3/1/1972,1851,0.9
4/1/1972,1862,0.6
5/1/1972,1891,1.6
6/1/1972,1851,-2.1
7/1/1972,1842,-0.5
8/1/1972,1907,3.6
9/1/1972,1892,-0.8
10/1/1972,1909,0.9
11/1/1972,2004,5
12/1/1972,2024,1
1/1/1973,1966,-2.9
2/1/1973,1879,-4.4
3/1/1973,1863,-0.8
4/1/1973,1767,-5.2
5/1/1973,1724,-2.4
6/1/1973,1706,-1.1
7/1/1973,1803,5.7
8/1/1973,1746,-3.1
9/1/1973,1841,5.4
10/1/1973,1838,-0.2
11/1/1973,1614,-12.2
12/1/1973,1634,1.3
1/1/1974,1642,0.5
2/1/1974,1643,0.1
3/1/1974,1606,-2.3
4/1/1974,1534,-4.5
5/1/1974,1473,-3.9
6/1/1974,1440,-2.2
7/1/1974,1335,-7.4
8/1/1974,1218,-8.8
9/1/1974,1084,-11
10/1/1974,1264,16.6
11/1/1974,1214,-4
12/1/1974,1181,-2.8
1/1/1975,1349,14.2
2/1/1975,1430,6
3/1/1975,1474,3.1
4/1/1975,1542,4.7
5/1/1975,1629,5.6
6/1/1975,1715,5.2
7/1/1975,1610,-6.1
8/1/1975,1572,-2.4
9/1/1975,1513,-3.7
10/1/1975,1602,5.9
11/1/1975,1651,3.1
12/1/1975,1632,-1.1
1/1/1976,1838,12.6
2/1/1976,1851,0.7
3/1/1976,1901,2.7
4/1/1976,1881,-1.1
5/1/1976,1862,-1
6/1/1976,1946,4.5
7/1/1976,1934,-0.6
8/1/1976,1931,-0.1
9/1/1976,1980,2.5
10/1/1976,1940,-2
11/1/1976,1955,0.8
12/1/1976,2073,6.1
1/1/1977,1997,-3.7
2/1/1977,1965,-1.6
3/1/1977,1945,-1
4/1/1977,1956,0.5
5/1/1977,1935,-1.1
6/1/1977,2033,5.1
7/1/1977,2008,-1.3
8/1/1977,1981,-1.3
9/1/1977,1985,0.2
10/1/1977,1907,-3.9
11/1/1977,1993,4.5
12/1/1977,2008,0.8
1/1/1978,1897,-5.5
2/1/1978,1880,-0.9
3/1/1978,1944,3.4
4/1/1978,2107,8.4
5/1/1978,2155,2.3
6/1/1978,2130,-1.2
7/1/1978,2251,5.7
8/1/1978,2348,4.3
9/1/1978,2329,-0.8
10/1/1978,2067,-11.2
11/1/1978,2138,3.4
12/1/1978,2173,1.7
1/1/1979,2282,5
2/1/1979,2218,-2.8
3/1/1979,2361,6.5
4/1/1979,2379,0.7
5/1/1979,2346,-1.4
6/1/1979,2455,4.7
7/1/1979,2494,1.6
8/1/1979,2651,6.3
9/1/1979,2652,0
10/1/1979,2460,-7.2
11/1/1979,2612,6.2
12/1/1979,2684,2.7
1/1/1980,2853,6.3
2/1/1980,2844,-0.3
3/1/1980,2512,-11.7
4/1/1980,2643,5.2
5/1/1980,2803,6.1
6/1/1980,2906,3.7
7/1/1980,3110,7
8/1/1980,3186,2.4
9/1/1980,3280,2.9
10/1/1980,3346,2
11/1/1980,3699,10.6
