Year, Stock Market Index 
4/1/1969,"$1,653 "
5/1/1969,"$1,659 "
6/1/1969,"$1,549 "
7/1/1969,"$1,448 "
8/1/1969,"$1,523 "
9/1/1969,"$1,487 "
10/1/1969,"$1,572 "
11/1/1969,"$1,520 "
12/1/1969,"$1,490 "
1/1/1970,"$1,378 "
2/1/1970,"$1,457 "
3/1/1970,"$1,450 "
4/1/1970,"$1,298 "
5/1/1970,"$1,215 "
6/1/1970,"$1,152 "
7/1/1970,"$1,238 "
8/1/1970,"$1,300 "
9/1/1970,"$1,361 "
10/1/1970,"$1,336 "
11/1/1970,"$1,404 "
12/1/1970,"$1,490 "
1/1/1971,"$1,568 "
2/1/1971,"$1,595 "
3/1/1971,"$1,666 "
4/1/1971,"$1,723 "
5/1/1971,"$1,659 "
6/1/1971,"$1,664 "
7/1/1971,"$1,596 "
8/1/1971,"$1,664 "
9/1/1971,"$1,656 "
10/1/1971,"$1,589 "
11/1/1971,"$1,587 "
12/1/1971,"$1,731 "
1/1/1972,"$1,779 "
2/1/1972,"$1,835 "
3/1/1972,"$1,851 "
4/1/1972,"$1,862 "
5/1/1972,"$1,891 "
6/1/1972,"$1,851 "
7/1/1972,"$1,842 "
8/1/1972,"$1,907 "
9/1/1972,"$1,892 "
10/1/1972,"$1,909 "
11/1/1972,"$2,004 "
12/1/1972,"$2,024 "
1/1/1973,"$1,966 "
2/1/1973,"$1,879 "
3/1/1973,"$1,863 "
4/1/1973,"$1,767 "
5/1/1973,"$1,724 "
6/1/1973,"$1,706 "
7/1/1973,"$1,803 "
8/1/1973,"$1,746 "
9/1/1973,"$1,841 "
10/1/1973,"$1,838 "
11/1/1973,"$1,614 "
12/1/1973,"$1,634 "
1/1/1974,"$1,642 "
2/1/1974,"$1,643 "
3/1/1974,"$1,606 "
4/1/1974,"$1,534 "
5/1/1974,"$1,473 "
6/1/1974,"$1,440 "
7/1/1974,"$1,335 "
8/1/1974,"$1,218 "
9/1/1974,"$1,084 "
10/1/1974,"$1,264 "
11/1/1974,"$1,214 "
12/1/1974,"$1,181 "
1/1/1975,"$1,349 "
2/1/1975,"$1,430 "
3/1/1975,"$1,474 "
4/1/1975,"$1,542 "
5/1/1975,"$1,629 "
6/1/1975,"$1,715 "
7/1/1975,"$1,610 "
8/1/1975,"$1,572 "
9/1/1975,"$1,513 "
10/1/1975,"$1,602 "
11/1/1975,"$1,651 "
12/1/1975,"$1,632 "
1/1/1976,"$1,838 "
2/1/1976,"$1,851 "
3/1/1976,"$1,901 "
4/1/1976,"$1,881 "
5/1/1976,"$1,862 "
6/1/1976,"$1,946 "
7/1/1976,"$1,934 "
8/1/1976,"$1,931 "
9/1/1976,"$1,980 "
10/1/1976,"$1,940 "
11/1/1976,"$1,955 "
12/1/1976,"$2,073 "
1/1/1977,"$1,997 "
2/1/1977,"$1,965 "
3/1/1977,"$1,945 "
4/1/1977,"$1,956 "
5/1/1977,"$1,935 "
6/1/1977,"$2,033 "
7/1/1977,"$2,008 "
8/1/1977,"$1,981 "
9/1/1977,"$1,985 "
10/1/1977,"$1,907 "
11/1/1977,"$1,993 "
12/1/1977,"$2,008 "
1/1/1978,"$1,897 "
2/1/1978,"$1,880 "
3/1/1978,"$1,944 "
4/1/1978,"$2,107 "
5/1/1978,"$2,155 "
6/1/1978,"$2,130 "
7/1/1978,"$2,251 "
8/1/1978,"$2,348 "
9/1/1978,"$2,329 "
10/1/1978,"$2,067 "
11/1/1978,"$2,138 "
12/1/1978,"$2,173 "
1/1/1979,"$2,282 "
2/1/1979,"$2,218 "
3/1/1979,"$2,361 "
4/1/1979,"$2,379 "
5/1/1979,"$2,346 "
6/1/1979,"$2,455 "
7/1/1979,"$2,494 "
8/1/1979,"$2,651 "
9/1/1979,"$2,652 "
10/1/1979,"$2,460 "
11/1/1979,"$2,612 "
12/1/1979,"$2,684 "
1/1/1980,"$2,853 "
2/1/1980,"$2,844 "
3/1/1980,"$2,512 "
4/1/1980,"$2,643 "
5/1/1980,"$2,803 "
6/1/1980,"$2,906 "
7/1/1980,"$3,110 "
8/1/1980,"$3,186 "
9/1/1980,"$3,280 "
10/1/1980,"$3,346 "
11/1/1980,"$3,699 "
12/1/1980,"$3,580 "
1/1/1981,"$3,437 "
2/1/1981,"$3,493 "
3/1/1981,"$3,660 "
4/1/1981,"$3,622 "
5/1/1981,"$3,668 "
6/1/1981,"$3,631 "
7/1/1981,"$3,620 "
8/1/1981,"$3,411 "
9/1/1981,"$3,209 "
10/1/1981,"$3,406 "
11/1/1981,"$3,556 "
12/1/1981,"$3,458 "
1/1/1982,"$3,373 "
2/1/1982,"$3,207 "
3/1/1982,"$3,178 "
4/1/1982,"$3,318 "
5/1/1982,"$3,221 "
6/1/1982,"$3,152 "
7/1/1982,"$3,085 "
8/1/1982,"$3,452 "
9/1/1982,"$3,514 "
10/1/1982,"$3,932 "
11/1/1982,"$4,140 "
12/1/1982,"$4,191 "
1/1/1983,"$4,370 "
2/1/1983,"$4,511 "
3/1/1983,"$4,666 "
4/1/1983,"$5,011 "
5/1/1983,"$5,071 "
6/1/1983,"$5,261 "
7/1/1983,"$5,086 "
8/1/1983,"$5,099 "
9/1/1983,"$5,184 "
10/1/1983,"$5,045 "
11/1/1983,"$5,189 "
12/1/1983,"$5,135 "
1/1/1984,"$5,075 "
2/1/1984,"$4,867 "
3/1/1984,"$4,933 "
4/1/1984,"$4,948 "
5/1/1984,"$4,691 "
6/1/1984,"$4,811 "
7/1/1984,"$4,719 "
8/1/1984,"$5,243 "
9/1/1984,"$5,247 "
10/1/1984,"$5,255 "
11/1/1984,"$5,201 "
12/1/1984,"$5,330 "
1/1/1985,"$5,790 "
2/1/1985,"$5,895 "
3/1/1985,"$5,882 "
4/1/1985,"$5,867 "
5/1/1985,"$6,205 "
6/1/1985,"$6,318 "
7/1/1985,"$6,310 "
8/1/1985,"$6,281 "
9/1/1985,"$6,033 "
10/1/1985,"$6,315 "
11/1/1985,"$6,763 "
12/1/1985,"$7,069 "
1/1/1986,"$7,154 "
2/1/1986,"$7,702 "
3/1/1986,"$8,125 "
4/1/1986,"$8,060 "
5/1/1986,"$8,472 "
6/1/1986,"$8,604 "
7/1/1986,"$8,093 "
8/1/1986,"$8,622 "
9/1/1986,"$7,919 "
10/1/1986,"$8,325 "
11/1/1986,"$8,454 "
12/1/1986,"$8,219 "
1/1/1987,"$9,279 "
2/1/1987,"$9,726 "
3/1/1987,"$9,931 "
4/1/1987,"$9,766 "
5/1/1987,"$9,813 "
6/1/1987,"$10,247 "
7/1/1987,"$10,689 "
8/1/1987,"$11,115 "
9/1/1987,"$10,877 "
10/1/1987,"$8,415 "
11/1/1987,"$7,790 "
12/1/1987,"$8,351 "
1/1/1988,"$8,727 "
2/1/1988,"$9,182 "
3/1/1988,"$9,014 "
4/1/1988,"$9,106 "
5/1/1988,"$9,126 "
6/1/1988,"$9,608 "
7/1/1988,"$9,536 "
8/1/1988,"$9,277 "
9/1/1988,"$9,641 "
10/1/1988,"$9,810 "
11/1/1988,"$9,642 "
12/1/1988,"$9,846 "
1/1/1989,"$10,501 "
2/1/1989,"$10,329 "
3/1/1989,"$10,560 "
4/1/1989,"$11,088 "
5/1/1989,"$11,547 "
6/1/1989,"$11,473 "
7/1/1989,"$12,380 "
8/1/1989,"$12,649 "
9/1/1989,"$12,635 "
10/1/1989,"$12,258 "
11/1/1989,"$12,469 "
12/1/1989,"$12,689 "
1/1/1990,"$11,765 "
2/1/1990,"$11,963 "
3/1/1990,"$12,259 "
4/1/1990,"$11,931 "
5/1/1990,"$13,017 "
6/1/1990,"$12,957 "
7/1/1990,"$12,799 "
8/1/1990,"$11,584 "
9/1/1990,"$10,945 "
10/1/1990,"$10,809 "
11/1/1990,"$11,557 "
12/1/1990,"$11,911 "
1/1/1991,"$12,531 "
2/1/1991,"$13,493 "
3/1/1991,"$13,910 "
4/1/1991,"$13,944 "
5/1/1991,"$14,519 "
6/1/1991,"$13,863 "
7/1/1991,"$14,518 "
8/1/1991,"$14,922 "
9/1/1991,"$14,753 "
10/1/1991,"$15,006 "
11/1/1991,"$14,435 "
12/1/1991,"$16,055 "
1/1/1992,"$16,015 "
2/1/1992,"$16,234 "
3/1/1992,"$15,858 "
4/1/1992,"$16,078 "
5/1/1992,"$16,171 "
6/1/1992,"$15,845 "
7/1/1992,"$16,491 "
8/1/1992,"$16,141 "
9/1/1992,"$16,376 "
10/1/1992,"$16,580 "
11/1/1992,"$17,303 "
12/1/1992,"$17,616 "
1/1/1993,"$17,821 "
2/1/1993,"$17,881 "
3/1/1993,"$18,337 "
4/1/1993,"$17,822 "
5/1/1993,"$18,376 "
6/1/1993,"$18,479 "
7/1/1993,"$18,461 "
8/1/1993,"$19,192 "
9/1/1993,"$19,219 "
10/1/1993,"$19,532 "
11/1/1993,"$19,211 "
12/1/1993,"$19,573 "
1/1/1994,"$20,183 "
2/1/1994,"$19,711 "
3/1/1994,"$18,822 "
4/1/1994,"$19,001 "
5/1/1994,"$19,170 "
6/1/1994,"$18,649 "
7/1/1994,"$19,227 "
8/1/1994,"$20,069 "
9/1/1994,"$19,679 "
10/1/1994,"$20,018 "
11/1/1994,"$19,283 "
12/1/1994,"$19,534 "
1/1/1995,"$19,968 "
2/1/1995,"$20,772 "
3/1/1995,"$21,323 "
4/1/1995,"$21,867 "
5/1/1995,"$22,619 "
6/1/1995,"$23,340 "
7/1/1995,"$24,314 "
8/1/1995,"$24,562 "
9/1/1995,"$25,490 "
10/1/1995,"$25,222 "
11/1/1995,"$26,327 "
12/1/1995,"$26,727 "
1/1/1996,"$27,446 "
2/1/1996,"$27,918 "
3/1/1996,"$28,231 "
4/1/1996,"$28,942 "
5/1/1996,"$29,747 "
6/1/1996,"$29,527 "
7/1/1996,"$27,897 "
8/1/1996,"$28,784 "
9/1/1996,"$30,353 "
10/1/1996,"$30,741 "
11/1/1996,"$32,789 "
12/1/1996,"$32,382 "
1/1/1997,"$34,144 "
2/1/1997,"$34,110 "
3/1/1997,"$32,541 "
4/1/1997,"$33,995 "
5/1/1997,"$36,453 "
6/1/1997,"$38,082 "
7/1/1997,"$41,038 "
8/1/1997,"$39,503 "
9/1/1997,"$41,790 "
10/1/1997,"$40,378 "
11/1/1997,"$41,738 "
12/1/1997,"$42,490 "
1/1/1998,"$42,736 "
2/1/1998,"$45,911 "
3/1/1998,"$48,276 "
4/1/1998,"$48,836 "
5/1/1998,"$47,532 "
6/1/1998,"$49,238 "
7/1/1998,"$48,224 "
8/1/1998,"$40,677 "
9/1/1998,"$43,366 "
10/1/1998,"$46,596 "
11/1/1998,"$49,583 "
12/1/1998,"$52,826 "
1/1/1999,"$54,860 "
2/1/1999,"$52,813 "
3/1/1999,"$54,863 "
4/1/1999,"$57,441 "
5/1/1999,"$56,223 "
6/1/1999,"$59,130 "
7/1/1999,"$57,291 "
8/1/1999,"$56,724 "
9/1/1999,"$55,363 "
10/1/1999,"$58,967 "
11/1/1999,"$61,166 "
12/1/1999,"$66,157 "
1/1/2000,"$63,293 "
2/1/2000,"$65,116 "
3/1/2000,"$68,808 "
4/1/2000,"$64,720 "
5/1/2000,"$62,183 "
6/1/2000,"$65,317 "
7/1/2000,"$63,991 "
8/1/2000,"$68,810 "
