Year,Central Bank Policy Rate,
2010,9.5,
2011,9.5,
2012,9.5,
2013,9.5,
2014,26.9,
2015,33.0,
2016,24.8,
2017,28.8,
2018,59.3,
2019,55.0,
2020,38.0,
2021,38.0,
2022,75.0,
